Division,TLE,Name,NORAD,COSPAR,Nonoperational,Comments
Planetary,Mars Climate Orbiter,Mars Climate Orbiter,25571,1998-073A,decayed,
Planetary,Mars Exploration Rover - Opportunity,Mars Exploration Rover - Opportunity,27849,2003-032A,decayed,
Planetary,Mars Exploration Rover - Spirit,Mars Exploration Rover - Spirit,27827,2003-027A,decayed,
Planetary,Mars Express (ASPERA-3),Mars Express (ASPERA-3),27816,2003-022A,,
Planetary,Mars Global Surveyor,Mars Global Surveyor,24648,1996-062A,past,
Planetary,Mars Observer,Mars Observer,22136,1992-063A,past,
Planetary,Mars Odyssey,Mars Odyssey,26734,2001-013A,,
Planetary,Mars Pathfinder,Mars Pathfinder,24667,1996-068A,decayed,
Planetary,Mars Polar Lander,Mars Polar Lander,25605,1999-001A,decayed,
Planetary,Mars Reconnaissance Orbiter,Mars Reconnaissance Orbiter,28788,2005-029A,,
Planetary,Mars Science Laboratory,Mars Science Laboratory,37936,2011-070A,decayed,
Planetary,MAVEN,MAVEN,39378,2013-063A,,
Planetary,MESSENGER,MESSENGER,28391,2004-030A,,
Heliophysics,MMS,MMS,,,development,
Earth,MOMS,MOMS,,,shuttle payload,
Earth,MOS,MOS,17527,1987-018A,past,
Planetary,NEAR-Shoemaker,NEAR-Shoemaker,23784,1996-008A,decayed,
Planetary,New Horizons,New Horizons,28928,2006-001A,,
Earth,Nimbus,Nimbus,11080,1978-098A,past,NIMBUS-7: 1-7+
Earth,NOAA-N,NOAA-N,28654,2005-018A,,
Earth,NOAA/POES,NOAA/POES,,,development,same as NPOESS
Earth,NPOESS,NPOESS,,,development,same as NOAA/POES
Earth,NPOESS Preparatory Project (NPP),NPOESS Preparatory Project (NPP),37849,2011-061A,,
Astrophysics,NuSTAR,NuSTAR,38358,2012-031A,,
Astrophysics,OAO,OAO,6153,1972-065A,past,OAO 3: 1-3
Earth,OCO,OCO,,,past,launch failure
Earth,OCO-2,OCO-2,40059,2014-035A,,
Earth,Operation Ice Bridge,Operation Ice Bridge,,,plane,
Astrophysics,ORFEUS-SPAS II,ORFEUS-SPAS II,24661,1996-065B,decayed,
Earth,OSTM,OSTM,33105,2008-032A,,
Planetary,Phoenix,Phoenix,32003,2007-034A,decayed,
Planetary,Pioneer 10 & 11,Pioneer 10 & 11,5860,1972-012A,past,PIONEER 10: 10-11
Planetary,Pioneer Venus Missions,Pioneer Venus Missions,10911,1978-051A,decayed,PIONEER VENUS ORBITER: other PIONEER VENUS missions
Astrophysics,Planck,Planck,34938,2009-026B,past,
Heliophysics,Polar,Polar,23802,1996-013A,past,
Earth,QuikSCAT,QuikSCAT,25789,1999-034A,,
Earth,Radarsat,Radarsat,23710,1995-059A,,
Planetary,Ranger,Ranger,439,1962-055A,past,RANGER 5
Heliophysics,RBSP,RBSP,38752,2012-046A,,RBSP A
Heliophysics,RHESSI,RHESSI,27370,2002-004A,,
